Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
HAMILTON,HAMILTON,D3753,PARKSIDE CIRCUIT PARK,B-RE-0012-N001,BALANCE OF PARK,52791,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,-27.4443,153.088,508654,6964350,100124316
NORTHGATE,NORTHGATE,D0456,PLAISTED PLACE PARK,B-RE-0014-N003,PLAISTED PLACE PK SKATE FACILITY,121974,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3909,153.061,506018,6970270,200527064
MOOROOKA,MOOROOKA,D0541,TONKS STREET PARK,B-RE-0015-N003,BALANCE OF PARK,48798,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5399,153.019,501886,6953760,200488755
MARCHANT,GRANGE,D0498,LANHAM PARK,B-RE-0017-N002,LANHAM PK PICNIC AREA,23408,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4242,153.019,501845,6966580,200478522
MARCHANT,GRANGE,D0498,LANHAM PARK,B-RE-0017-N005,SELLHEIM ST PLAYGROUND,65979,BUBBLER/DRINKING FOUNTAIN,UNIQUE DRINKING FOUNTAIN,-27.4242,153.018,501816,6966580,200500170
MARCHANT,GRANGE,D0498,LANHAM PARK,B-RE-0017-N007,GRANGE THISTLE SOCCER FACILITY,168375,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4218,153.02,501933,6966850,200553115
MARCHANT,GRANGE,D0498,LANHAM PARK,B-RE-0017-N015,SELLHEIM ST PICNIC AREA,23409,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4247,153.018,501734,6966530,200478523
RUNCORN,RUNCORN,D0607,NATHAN ROAD PARK,B-RE-0018-N002,NATHAN RD DOG OFF LEASH AREA,29806,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5872,153.07,506920,6948520,200480500
THE GAP,RED HILL,D0192,WOOLCOCK PARK,B-RE-0020-N001,WOOLCOCK PK PLAYGROUND,28722,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.4494,152.999,499919,6963790,200480303
THE GAP,RED HILL,D0192,WOOLCOCK PARK,B-RE-0020-N005,BALANCE OF PARK,22924,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4497,152.999,499923,6963750,200478328
THE GAP,RED HILL,D0192,WOOLCOCK PARK,B-RE-0020-N005,BALANCE OF PARK,22925,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.449,152.999,499916,6963830,200478329
THE GAP,RED HILL,D0192,WOOLCOCK PARK,B-RE-0020-N006,WOOLCOCK PK PICNIC AREA,36819,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4488,152.999,499895,6963850,200483664
TENNYSON,GRACEVILLE,D0009,GIRAWEEN PARK,B-RE-0021-N002,GIRAWEEN PK PLAYGROUND,174382,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5219,152.988,498816,6955750,200557240
RUNCORN,RUNCORN,D1208,GLENEFER STREET PARK,B-RE-0025-N001,BALANCE OF PARK,124174,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6004,153.069,506814,6947060,200528894
RUNCORN,RUNCORN,D1208,GLENEFER STREET PARK,B-RE-0025-N002,GLENEFER ST PK DOG OFF LEASH AREA,50733,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER WITH DOG BOWL,-27.6009,153.07,506875,6947000,100117849
CALAMVALE,PARKINSON,D1195,BILLABONG PLACE PARK,B-RE-0026-N001,GRAGIN PLACE PLAYGROUND,32133,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4808,152.981,498135,6960310,200481236
CALAMVALE,PARKINSON,D1195,BILLABONG PLACE PARK,B-RE-0026-N001,GRAGIN PLACE PLAYGROUND,186281,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.629,153.032,503156,6943900,200564596
CALAMVALE,PARKINSON,D1195,BILLABONG PLACE PARK,B-RE-0026-N002,AVONDALE CRES PLAYGROUND,186431,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.6305,153.035,503404,6943730,200564722
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185292,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5489,152.992,499254,6952770,200563746
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185300,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5488,152.992,499215,6952780,200563750
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185348,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5488,152.992,499236,6952780,200563795
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185361,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5492,152.993,499261,6952740,200563806
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185362,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5492,152.993,499274,6952730,200563807
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185363,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5492,152.993,499287,6952730,200563808
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,B-RE-0030-N003,CORINDA HORSE & PONY CLUB FACILITY,185372,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.5489,152.992,499215,6952760,200563816
MARCHANT,CHERMSIDE,D0964,DEAD MAN'S GULLY PARK,B-RE-0036-N001,BALANCE OF PARK,151842,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.3903,153.031,503035,6970330,200543944
MCDOWALL,EVERTON PARK,D0948,SOAMES STREET PARK,B-RE-0037-N002,HOLLOWAY DVE PICNIC AREA,148430,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3912,152.982,498235,6970240,200541856
DOBOY,MURARRIE,D2047,WYANDRA CRESCENT PARK,B-RE-0039-N002,WYANDRA CRESCENT (STOCKYARD PK) PLAYGROUND,101573,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4626,153.092,509100,6962320,200513296
DOBOY,WAKERLEY,D2050,MOSS ROAD (NO 42),B-RE-0041-N003,WATERVALE PDE DOG OFF LEASH AREA,196406,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,-27.481,153.162,516047,6960280,100262924
DOBOY,WAKERLEY,D2042,GORDON CRESCENT PARK,B-RE-0046-N002,GORDON CRES PLAYGROUND,34997,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4803,153.153,515124,6960360,100107287
JAMBOREE,RIVERHILLS,D2040,NEWCOMB PARK,B-RE-0047-N008,SUMNERS RD SKATE & BMX FACILITY,196205,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,-27.5625,152.9,490106,6951250,100252294
DOBOY,WAKERLEY,D2052,BEHAN CRESCENT PARK,B-RE-0048-N002,BEHAN CRES PLAYGROUND,187563,BUBBLER/DRINKING FOUNTAIN,TAP COMBINATION,-27.4811,153.155,515280,6960270,100108156
NORTHGATE,NUDGEE,D2054,ALEXANDER MACPHERSON PARK,B-RE-0049-N002,ALEXANDER MACPHERSON PK PLAYGROUND,89428,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3715,153.089,508752,6972410,200509114
